GAME_DATE_EST,GAME_ID,SEASON,HOME_TEAM_ID,OPP_TEAM_ID,WL,PTS_L5,FG_PCT_L5,FT_PCT_L5,FG3_PCT_L5,AST_L5,REB_L5,WL_L5,PTS_L10,FG_PCT_L10,FT_PCT_L10,FG3_PCT_L10,AST_L10,REB_L10,WL_L10,REST_DAYS_TEAM,B2B_TEAM,WIN_STREAK,PTS_L5_OPP,FG_PCT_L5_OPP,FT_PCT_L5_OPP,FG3_PCT_L5_OPP,AST_L5_OPP,REB_L5_OPP,WL_L5_OPP,PTS_L10_OPP,FG_PCT_L10_OPP,FT_PCT_L10_OPP,FG3_PCT_L10_OPP,AST_L10_OPP,REB_L10_OPP,WL_L10_OPP,REST_DAYS_TEAM_OPP,B2B_TEAM_OPP,WIN_STREAK_OPP,PTS_L5_DIFF,FG_PCT_L5_DIFF,FT_PCT_L5_DIFF,FG3_PCT_L5_DIFF,AST_L5_DIFF,REB_L5_DIFF,WL_L5_DIFF,PTS_L10_DIFF,FG_PCT_L10_DIFF,FT_PCT_L10_DIFF,FG3_PCT_L10_DIFF,AST_L10_DIFF,REB_L10_DIFF,WL_L10_DIFF,REST_DAYS_TEAM_DIFF,B2B_TEAM_DIFF,WIN_STREAK_DIFF
2006-11-01,20600005,2006,1610612753,1610612741,1,98.6,0.42619999999999997,0.6951999999999999,0.28659999999999997,18.8,38.6,0.6,99.25,0.4475,0.731625,0.346875,19.625,39.75,0.75,6.0,0,1,98.2,0.4542,0.7208,0.3966,21.4,44.2,0.6,97.11111111111111,0.4514444444444444,0.6728888888888889,0.3295555555555556,22.555555555555557,43.666666666666664,0.7777777777777778,1.0,1,2,0.3999999999999915,-0.028000000000000025,-0.025600000000000067,-0.11000000000000004,-2.599999999999998,-5.600000000000001,0.0,2.1388888888888857,-0.003944444444444417,0.0587361111111111,0.017319444444444387,-2.930555555555557,-3.9166666666666643,-0.02777777777777779,5.0,-1,-1
2007-11-09,20700072,2007,1610612765,1610612746,1,99.2,0.4699999999999999,0.6988000000000001,0.4138,22.8,41.0,0.8,98.3,0.43889999999999996,0.7019,0.3634,21.5,42.0,0.6,1.0,1,0,105.6,0.4558,0.7566,0.38079999999999997,23.4,46.6,1.0,104.8,0.4447,0.7987,0.39249999999999996,24.0,48.1,0.8,2.0,0,7,-6.3999999999999915,0.014199999999999935,-0.05779999999999996,0.03300000000000003,-0.5999999999999979,-5.600000000000001,-0.19999999999999996,-6.5,-0.005800000000000027,-0.0968,-0.02909999999999996,-2.5,-6.100000000000001,-0.20000000000000007,-1.0,1,-7
2021-01-08,22000129,2020,1610612749,1610612762,0,126.6,0.512,0.7778,0.46040000000000003,30.4,46.4,0.8,122.7,0.4981,0.7647,0.4056,27.0,47.4,0.5,2.0,0,3,105.4,0.4506,0.631,0.37279999999999996,22.0,46.4,0.4,110.4,0.45150000000000007,0.7101000000000001,0.3669,22.9,48.5,0.6,2.0,0,0,21.19999999999999,0.06140000000000001,0.14680000000000004,0.08760000000000007,8.399999999999999,0.0,0.4,12.299999999999997,0.04659999999999992,0.05459999999999998,0.03870000000000001,4.100000000000001,-1.1000000000000014,-0.09999999999999998,0.0,0,3
2015-03-20,21401026,2014,1610612760,1610612737,1,113.4,0.4502,0.8358000000000001,0.3701999999999999,20.2,48.8,0.6,112.3,0.45780000000000004,0.8069,0.3499999999999999,21.5,49.0,0.6,2.0,0,1,98.8,0.429,0.7984,0.349,22.8,37.4,0.6,101.1,0.4532,0.7807000000000001,0.3703,24.9,38.6,0.7,2.0,0,0,14.600000000000009,0.021199999999999997,0.0374000000000001,0.02119999999999994,-2.6000000000000014,11.399999999999999,0.0,11.200000000000003,0.0046000000000000485,0.02619999999999989,-0.020300000000000096,-3.3999999999999986,10.399999999999999,-0.09999999999999998,0.0,0,1
2015-10-14,11500061,2015,1610612746,1610612766,0,90.0,0.4073333333333333,0.734,0.3156666666666666,21.666666666666668,37.333333333333336,0.3333333333333333,90.0,0.4073333333333333,0.734,0.3156666666666666,21.666666666666668,37.333333333333336,0.3333333333333333,3.0,0,0,100.66666666666667,0.4286666666666666,0.7773333333333333,0.3426666666666666,21.666666666666668,47.0,1.0,100.66666666666667,0.4286666666666666,0.7773333333333333,0.3426666666666666,21.666666666666668,47.0,1.0,3.0,0,3,-10.666666666666671,-0.02133333333333326,-0.043333333333333335,-0.027000000000000024,0.0,-9.666666666666664,-0.6666666666666667,-10.666666666666671,-0.02133333333333326,-0.043333333333333335,-0.027000000000000024,0.0,-9.666666666666664,-0.6666666666666667,0.0,0,-3
2007-10-23,10700095,2007,1610612748,1610612759,0,85.6,0.42299999999999993,0.7108000000000001,0.3436,15.4,35.6,0.0,85.66666666666667,0.41966666666666663,0.7155,0.3511666666666667,16.5,35.5,0.0,3.0,0,0,95.66666666666667,0.4586666666666666,0.6876666666666665,0.443,21.0,47.666666666666664,0.6666666666666666,95.66666666666667,0.4586666666666666,0.6876666666666665,0.443,21.0,47.666666666666664,0.6666666666666666,3.0,0,2,-10.066666666666677,-0.03566666666666668,0.02313333333333356,-0.09939999999999999,-5.6,-12.066666666666663,-0.6666666666666666,-10.0,-0.03899999999999998,0.027833333333333488,-0.09183333333333332,-4.5,-12.166666666666664,-0.6666666666666666,0.0,0,-2
2007-12-21,20700390,2007,1610612760,1610612761,1,96.0,0.4524,0.7906000000000001,0.29640000000000005,20.4,40.6,0.4,95.8,0.4382,0.7864,0.332,20.0,46.4,0.5,2.0,0,0,89.8,0.43100000000000005,0.7722,0.388,21.2,41.6,0.6,94.7,0.45099999999999996,0.7736000000000001,0.4321,21.8,41.7,0.6,2.0,0,0,6.200000000000003,0.021399999999999975,0.018400000000000083,-0.09159999999999996,-0.8000000000000007,-1.0,-0.19999999999999996,1.0999999999999943,-0.012799999999999978,0.012799999999999923,-0.10009999999999997,-1.8000000000000007,4.699999999999996,-0.09999999999999998,0.0,0,0
2006-12-27,20600422,2006,1610612741,1610612748,1,101.0,0.4626,0.7434000000000001,0.3489999999999999,21.4,40.6,0.6,100.1,0.4596,0.7566,0.35439999999999994,22.3,42.8,0.7,1.0,1,0,100.0,0.49160000000000004,0.7624,0.38099999999999995,22.6,41.6,0.8,98.3,0.4667,0.7501,0.3432,22.0,42.3,0.6,2.0,0,2,1.0,-0.029000000000000026,-0.018999999999999906,-0.03200000000000003,-1.2000000000000028,-1.0,-0.20000000000000007,1.7999999999999972,-0.007099999999999995,0.006500000000000061,0.011199999999999932,0.3000000000000007,0.5,0.09999999999999998,-1.0,1,-2
2022-12-21,22200468,2022,1610612737,1610612741,0,120.2,0.4788,0.8296000000000001,0.37839999999999996,26.4,41.0,0.6,116.2,0.4796,0.8012,0.3353,24.2,42.8,0.5,2.0,0,2,114.4,0.5134000000000001,0.8295999999999999,0.364,26.8,38.4,0.2,115.6,0.5105999999999999,0.8065,0.36669999999999997,26.2,39.5,0.3,1.0,1,1,5.799999999999997,-0.034600000000000075,2.220446049250313e-16,0.014399999999999968,-0.40000000000000213,2.6000000000000014,0.39999999999999997,0.6000000000000085,-0.030999999999999917,-0.005299999999999971,-0.031399999999999983,-2.0,3.299999999999997,0.2,1.0,-1,1
2006-11-17,20600120,2006,1610612738,1610612757,1,101.2,0.44919999999999993,0.7071999999999999,0.4486,22.4,43.0,0.4,100.7,0.4574,0.726,0.41340000000000005,22.0,43.9,0.2,2.0,0,1,93.0,0.44480000000000003,0.788,0.32419999999999993,15.2,33.8,0.4,91.9,0.4478,0.7739,0.2975,16.1,36.9,0.4,2.0,0,0,8.200000000000003,0.004399999999999904,-0.0808000000000001,0.12440000000000007,7.199999999999999,9.200000000000003,0.0,8.799999999999997,0.009599999999999997,-0.047900000000000054,0.11590000000000006,5.899999999999999,7.0,-0.2,0.0,0,1
2021-06-06,42000201,2020,1610612755,1610612737,0,124.0,0.5134000000000001,0.6938,0.3812,26.6,44.8,0.8,117.6,0.49160000000000004,0.749,0.374,26.8,42.0,0.7,4.0,0,1,104.0,0.4438,0.8116,0.3738,20.6,44.2,0.8,113.1,0.47009999999999996,0.8126,0.3632,22.6,46.6,0.8,4.0,0,3,20.0,0.0696000000000001,-0.11780000000000002,0.007399999999999962,6.0,0.5999999999999943,0.0,4.5,0.021500000000000075,-0.06359999999999999,0.010799999999999976,4.199999999999999,-4.600000000000001,-0.10000000000000009,0.0,0,-2
2016-11-06,21600089,2016,1610612761,1610612758,0,102.8,0.466,0.8202,0.26139999999999997,16.0,45.2,0.8,102.2,0.45680000000000004,0.8135999999999999,0.30469999999999997,16.7,42.3,0.6,2.0,0,3,96.4,0.4378,0.7464000000000001,0.34879999999999994,21.2,39.4,0.2,101.8,0.4708,0.7798999999999999,0.365,23.1,40.4,0.4,1.0,1,0,6.3999999999999915,0.028200000000000003,0.07379999999999998,-0.08739999999999998,-5.199999999999999,5.800000000000004,0.6000000000000001,0.4000000000000057,-0.013999999999999957,0.03369999999999995,-0.06030000000000002,-6.400000000000002,1.8999999999999986,0.19999999999999996,1.0,-1,3
2007-02-03,20600708,2006,1610612757,1610612741,0,100.4,0.433,0.7568,0.40199999999999997,20.8,40.6,0.4,99.0,0.44489999999999996,0.7474999999999999,0.39239999999999997,20.2,41.8,0.5,1.0,1,0,99.0,0.46020000000000005,0.7448,0.3556,21.2,46.4,0.8,98.0,0.46069999999999994,0.7365999999999999,0.35019999999999996,21.5,46.3,0.7,1.0,1,1,1.4000000000000057,-0.027200000000000057,0.01200000000000001,0.04639999999999994,-0.3999999999999986,-5.799999999999997,-0.4,1.0,-0.01579999999999998,0.01090000000000002,0.042200000000000015,-1.3000000000000007,-4.5,-0.19999999999999996,0.0,0,-1
2019-03-18,21801050,2018,1610612739,1610612765,1,108.4,0.4433999999999999,0.8805999999999999,0.36879999999999996,20.4,38.4,0.2,108.4,0.4324,0.8544,0.37670000000000003,20.6,39.6,0.3,2.0,0,0,100.2,0.41339999999999993,0.726,0.3452,23.8,44.8,0.6,107.8,0.45120000000000005,0.7451000000000001,0.37829999999999997,24.2,44.5,0.7,1.0,1,2,8.200000000000003,0.02999999999999997,0.15459999999999996,0.023599999999999954,-3.400000000000002,-6.399999999999999,-0.39999999999999997,0.6000000000000085,-0.01880000000000004,0.10929999999999995,-0.0015999999999999348,-3.599999999999998,-4.899999999999999,-0.39999999999999997,1.0,-1,-2
2021-12-16,22100431,2021,1610612745,1610612752,0,111.0,0.4648,0.6718,0.3344,25.0,40.8,0.4,115.3,0.4756,0.7196,0.3659,27.4,42.0,0.7,1.0,1,0,100.6,0.40759999999999996,0.8638,0.35340000000000005,20.4,43.0,0.2,102.3,0.4241,0.8361000000000001,0.3444,20.4,43.7,0.2,2.0,0,0,10.400000000000006,0.05720000000000003,-0.19200000000000006,-0.019000000000000072,4.600000000000001,-2.200000000000003,0.2,13.0,0.051500000000000046,-0.11650000000000005,0.02150000000000002,7.0,-1.7000000000000028,0.49999999999999994,-1.0,1,0
2004-06-08,40300402,2003,1610612747,1610612765,1,91.8,0.45519999999999994,0.6100000000000001,0.248,24.8,41.2,0.6,88.7,0.4495,0.6103,0.257,22.5,40.4,0.7,2.0,0,0,78.4,0.3907999999999999,0.7495999999999999,0.27799999999999997,17.2,43.4,0.8,82.9,0.3928999999999999,0.7291000000000001,0.2694,18.9,44.7,0.7,2.0,0,3,13.399999999999991,0.06440000000000001,-0.13959999999999984,-0.02999999999999997,7.600000000000001,-2.1999999999999957,-0.20000000000000007,5.799999999999997,0.056600000000000095,-0.11880000000000013,-0.012399999999999967,3.6000000000000014,-4.300000000000004,0.0,0.0,0,-3
