GAME_DATE_EST,GAME_ID,SEASON,HOME_TEAM_ID,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,HOME_TEAM_WINS,VISITOR_TEAM_ID,TEAM_ID,OPP_TEAM_ID,IS_HOME,WL,REST_DAYS_TEAM,B2B_TEAM,WIN_STREAK,PTS_L5,FG_PCT_L5,FT_PCT_L5,FG3_PCT_L5,AST_L5,REB_L5,WL_L5,PTS_L10,FG_PCT_L10,FT_PCT_L10,FG3_PCT_L10,AST_L10,REB_L10,WL_L10
2019-12-04,21900306,2019,1610612766,106.0,0.46,0.625,0.4379999999999999,30.0,44.0,1,1610612744,1610612766,1610612744,1,1,2.0,0,0,102.4,0.4314,0.8051999999999999,0.3238,25.2,43.8,0.4,103.5,0.44299999999999995,0.7839,0.348,24.1,42.6,0.3
2013-03-17,21200990,2012,1610612742,101.0,0.4579999999999999,1.0,0.429,18.0,34.0,0,1610612760,1610612742,1610612760,1,0,2.0,0,1,100.8,0.48580000000000007,0.7502000000000001,0.40279999999999994,25.0,44.4,0.8,99.1,0.48040000000000005,0.7546999999999999,0.3619,23.7,40.9,0.6
2017-12-15,21700428,2017,1610612745,124.0,0.473,0.8,0.36,20.0,45.0,1,1610612759,1610612745,1610612759,1,1,2.0,0,11,118.4,0.49799999999999994,0.7496,0.39259999999999995,21.4,41.0,1.0,117.4,0.49000000000000005,0.7482,0.4053999999999999,24.5,42.9,1.0
2004-12-31,20400424,2004,1610612762,109.0,0.519,0.7,0.364,23.0,35.0,0,1610612758,1610612758,1610612762,0,1,5.0,0,0,102.2,0.4746,0.756,0.38120000000000004,26.8,43.6,0.4,103.0,0.4626,0.796,0.3893,27.4,44.3,0.6
2012-10-31,21200006,2012,1610612765,105.0,0.494,0.7390000000000001,0.37,28.0,45.0,0,1610612745,1610612745,1610612765,0,1,5.0,0,3,105.0,0.4606,0.6628000000000001,0.4084,27.0,43.8,0.6,103.85714285714286,0.46085714285714285,0.668,0.3767142857142857,26.428571428571427,43.857142857142854,0.7142857142857143
2007-03-11,20600940,2006,1610612739,99.0,0.487,0.6920000000000001,0.3329999999999999,22.0,38.0,1,1610612754,1610612739,1610612754,1,1,1.0,1,4,99.6,0.46900000000000003,0.6688,0.3944,21.2,45.2,0.8,95.4,0.4484,0.6445000000000001,0.3532,18.4,44.0,0.7
2014-12-23,21400418,2014,1610612753,100.0,0.47,0.652,0.389,23.0,45.0,1,1610612738,1610612753,1610612738,1,1,2.0,0,0,91.2,0.4568,0.7192000000000001,0.37100000000000005,21.0,37.0,0.2,91.5,0.45500000000000007,0.724,0.3776,19.4,38.2,0.3
2008-01-06,20700490,2007,1610612761,93.0,0.412,0.667,0.5,15.0,52.0,0,1610612739,1610612739,1610612761,0,1,2.0,0,2,91.0,0.41739999999999994,0.6958,0.2704,19.8,46.0,0.8,92.5,0.4178,0.7115,0.25889999999999996,19.9,44.8,0.6
2007-04-15,20601194,2006,1610612742,86.0,0.436,0.889,0.154,15.0,40.0,1,1610612759,1610612759,1610612742,0,0,2.0,0,6,107.0,0.5214000000000001,0.7012,0.42400000000000004,22.4,43.2,1.0,106.4,0.519,0.7478,0.42219999999999996,23.3,41.7,0.9
2003-12-18,20300357,2003,1610612750,109.0,0.4589999999999999,0.828,0.318,21.0,42.0,1,1610612742,1610612742,1610612750,0,0,1.0,1,0,106.6,0.454,0.7486,0.349,23.0,49.6,0.6,101.8,0.42219999999999996,0.7628,0.3149,20.3,48.6,0.5
2021-03-27,22000694,2020,1610612764,92.0,0.3879999999999999,0.8420000000000001,0.345,19.0,43.0,1,1610612765,1610612765,1610612764,0,0,1.0,1,0,107.4,0.4628,0.7686,0.36099999999999993,23.8,43.4,0.4,106.6,0.465,0.7358,0.3538,25.6,42.5,0.3
2018-11-16,21800221,2018,1610612750,96.0,0.42,0.7,0.276,16.0,48.0,1,1610612757,1610612757,1610612750,0,0,2.0,0,0,112.4,0.45499999999999996,0.8284,0.3686,20.4,54.4,0.8,112.2,0.45859999999999995,0.8415000000000001,0.3677,19.8,51.1,0.7
